frame.time_relative,ip.src,tcp.srcport,tcp.len
"121.103283633","172.27.86.246","49159","0"
"121.103308614","172.27.44.186","4444","0"
"121.103464474","172.27.86.246","49159","0"
"121.127831451","172.27.44.186","4444","4"
"121.128167055","172.27.44.186","4444","7300"
"121.128180363","172.27.44.186","4444","5840"
"121.128449179","172.27.86.246","49159","0"
"121.128460821","172.27.44.186","4444","14600"
"121.128469540","172.27.44.186","4444","14600"
"121.128598276","172.27.86.246","49159","0"
"121.128604375","172.27.44.186","4444","2920"
"121.128610178","172.27.44.186","4444","29200"
"121.128620949","172.27.44.186","4444","2920"
"121.128624070","172.27.44.186","4444","10016"
"121.128680507","172.27.86.246","49159","0"
"121.128723393","172.27.86.246","49159","0"
"121.128723428","172.27.86.246","49159","0"
"121.128726846","172.27.44.186","4444","21900"
"121.128736017","172.27.44.186","4444","204"
"121.128764623","172.27.86.246","49159","0"
"121.128764648","172.27.86.246","49159","0"
"121.128768265","172.27.44.186","4444","13140"
"121.128841026","172.27.86.246","49159","0"
"121.128876024","172.27.86.246","49159","0"
"121.128876049","172.27.86.246","49159","0"
"121.128879428","172.27.44.186","4444","18980"
"121.128887410","172.27.44.186","4444","32120"
"121.128927496","172.27.44.186","4444","1946"
"121.129096862","172.27.86.246","49159","0"
"121.129096899","172.27.86.246","49159","0"
"121.130208148","172.27.86.246","49159","0"
"121.301804900","172.27.44.186","4444","387"
"121.356173798","172.27.86.246","49159","397"
"121.356216810","172.27.44.186","4444","0"
"121.358480803","172.27.44.186","4444","128"
"121.419040963","172.27.86.246","49159","512"
"121.461063360","172.27.44.186","4444","128"
"121.512177921","172.27.86.246","49159","144"
"121.565449296","172.27.44.186","4444","0"
"121.571620417","172.27.44.186","4444","32120"
"121.571741156","172.27.44.186","4444","648"
"121.571810212","172.27.44.186","4444","32120"
"121.572035037","172.27.86.246","49159","0"
"121.572035347","172.27.86.246","49159","0"
"121.572068779","172.27.44.186","4444","9352"
"121.572094887","172.27.44.186","4444","21900"
"121.572203596","172.27.86.246","49159","0"
"121.572210583","172.27.44.186","4444","868"
"121.572310694","172.27.86.246","49159","0"
"121.572320624","172.27.44.186","4444","1296"
"121.573092130","172.27.44.186","4444","32120"
"121.573197448","172.27.86.246","49159","0"
"121.573325997","172.27.86.246","49159","0"
"121.573338272","172.27.44.186","4444","648"
"121.573420015","172.27.44.186","4444","32120"
"121.574388346","172.27.44.186","4444","5840"
"121.574632228","172.27.86.246","49159","0"
"121.574659432","172.27.44.186","4444","56"
"121.574828255","172.27.86.246","49159","0"
"121.637258538","172.27.86.246","49159","1504"
"121.637367331","172.27.44.186","4444","0"
"121.656441811","172.27.44.186","4444","112"
"121.715835241","172.27.86.246","49159","176"
"121.716392730","172.27.44.186","4444","112"
"121.777879205","172.27.86.246","49159","176"
"121.778549749","172.27.44.186","4444","112"
"121.840401618","172.27.86.246","49159","272"
"121.841389048","172.27.44.186","4444","112"
"121.902965551","172.27.86.246","49159","592"
"121.903882099","172.27.44.186","4444","112"
"121.966293690","172.27.86.246","49159","1488"
"121.966470286","172.27.44.186","4444","0"
"121.982431306","172.27.44.186","4444","128"
"122.044236303","172.27.86.246","49159","144"
"122.068653462","172.27.44.186","4444","32120"
"122.068748112","172.27.44.186","4444","648"
"122.068810775","172.27.44.186","4444","32000"
"122.068919830","172.27.86.246","49159","0"
"122.068919936","172.27.86.246","49159","0"
"122.068933474","172.27.44.186","4444","2920"
"122.068963482","172.27.86.246","49159","0"
"122.068963506","172.27.86.246","49159","0"
"122.068966364","172.27.44.186","4444","248"
"122.069084609","172.27.86.246","49159","0"
"122.122514999","172.27.86.246","49159","224"
"122.197238468","172.27.44.186","4444","0"
"185.165017615","172.27.44.186","4444","128"
"185.217399058","172.27.86.246","49159","160"
"185.217447917","172.27.44.186","4444","0"
"249.866514170","172.27.44.186","4444","128"
"249.921505134","172.27.86.246","49159","160"
"249.921642732","172.27.44.186","4444","0"
"313.785674634","172.27.44.186","4444","128"
"313.843333695","172.27.86.246","49159","160"
"313.843349709","172.27.44.186","4444","0"
"377.329632870","172.27.44.186","4444","128"
"377.391456328","172.27.86.246","49159","160"
"377.391474271","172.27.44.186","4444","0"
"441.331609094","172.27.44.186","4444","128"
"441.392064125","172.27.86.246","49159","160"
"441.392078179","172.27.44.186","4444","0"
"505.556314779","172.27.44.186","4444","128"
"505.612788488","172.27.86.246","49159","160"
"505.612872245","172.27.44.186","4444","0"
"568.867636421","172.27.44.186","4444","128"
"568.924284516","172.27.86.246","49159","160"
"568.924305601","172.27.44.186","4444","0"
